YearsExperience,Salary
4.89,48814.45
4.77,41963.8
6.19,61528.82
3.46,38297.09
5.89,58125.79
5.65,51224.22
2.79,26482.1
5.32,56216.95
7.69,81332.2
2.98,24559.55
3.12,32570.26
5.07,51059.32
6.13,59602.35
7.4,75173.73
7.45,84811.97
2.2,24507.8
7.33,67583.51
2.65,21415.24
3.53,40790.53
3.99,36798.65
9.85,95882.18
4.44,45499.29
7.83,87275.68
6.34,66570.51
2.53,21859.14
4.69,47606.23
4.57,48340.57
3.35,31348.8
4.29,39571.37
5.42,47391.37
9.47,102366.91
4.48,44969.37
6.2,55279.56
6.17,65711.23
8.8,87505.63
10.02,100965.15
-0.43,-2227.03
2.15,18075.6
5.74,54006.24
4.17,40846.04
7.81,71271.5
6.21,68938.22
4.07,44826.77
4.4,39715.89
3.48,41463.68
5.16,44724.91
5.58,66979.58
5.25,50709.59
5.41,50130.21
3.37,30651.37
7.4,67942.63
5.74,64992.38
5.7,53740.45
3.42,35942.02
5.56,51958.62
-0.19,-5241.11
3.99,42082.31
4.61,46077.37
4.94,50483.49
7.07,63570.73
7.3,75070.99
3.27,34370.95
3.49,29955.73
-0.28,-9997.59
5.17,48011.16
4.28,33869.48
1.72,4192.34
4.82,54073.34
2.11,23478.84
7.14,70350.31
4.53,45670.39
6.0,67761.97
4.32,45689.57
5.09,52661.96
4.15,40126.3
4.47,54369.67
5.85,51157.96
5.75,53439.02
5.67,57214.8
6.08,59218.78
4.92,49052.62
8.49,87091.02
2.11,20578.69
3.34,40008.75
6.12,53387.63
6.31,63075.81
4.73,51490.32
2.6,28182.58
7.74,75228.17
7.58,79716.59
6.23,66331.67
6.35,68534.76
3.66,29576.03
2.99,21095.24
1.84,26892.59
5.92,55702.06
8.14,82229.54
0.63,5031.3
6.33,65017.97
5.96,62234.74
7.42,74497.75
6.17,53380.25
0.63,3857.66
6.23,59059.19
2.95,29231.97
3.79,31346.85
2.09,19077.56
4.78,42854.61
7.09,68267.7
3.18,36857.48
7.39,71681.98
5.13,47351.0
2.77,28864.67
5.85,59097.55
2.32,17568.75
8.41,85853.58
3.18,26324.58
6.3,62143.63
2.77,29279.25
3.96,36131.27
5.62,57177.48
5.8,62892.87
6.69,67020.63
3.74,36539.84
5.58,56150.83
5.47,67598.7
6.69,71155.26
6.12,65345.22
3.35,25895.65
4.95,47256.63
7.86,75758.19
3.79,36287.69
7.02,63567.08
4.64,38717.88
4.89,47387.91
3.86,36450.45
4.54,38398.7
3.83,36102.87
3.46,37050.09
2.5,23683.85
5.27,56165.51
6.75,57564.89
8.12,78420.64
4.02,42152.12
7.74,77444.21
6.19,57481.73
7.13,66565.74
7.58,70871.34
7.51,77231.66
8.61,92813.19
7.62,69871.93
4.53,51058.19
5.88,58473.16
7.7,78959.06
6.89,63638.66
3.46,27421.05
7.14,72851.33
9.12,90896.39
3.76,31876.74
4.7,52318.37
6.8,66981.83
5.85,58138.04
4.08,41717.24
1.72,17707.89
5.03,45066.22
5.62,49211.77
7.28,73018.94
8.19,87912.81
6.57,69300.0
4.98,55657.85
5.24,51074.49
6.76,75064.3
1.37,16564.02
4.63,34351.6
2.34,24226.48
4.0,34592.41
2.62,29303.66
5.31,59124.09
4.96,48901.21
3.43,35745.17
4.99,47080.9
4.7,53369.2
2.82,28170.7
3.85,44621.28
3.83,39414.31
6.46,63717.19
4.57,43480.93
6.64,62773.39
3.51,38360.93
4.77,43935.75
2.71,18747.19
8.46,85830.54
2.89,36654.3
10.06,106672.3
6.6,72438.32
4.25,38989.26
5.02,56260.57
5.1,56180.41
3.57,27046.27
3.13,34504.77
3.0,33544.41
8.11,70899.89
3.49,42181.79
8.07,75887.19
1.29,19618.23
4.9,44682.31
4.25,41161.87
4.01,39266.79
4.07,38983.52
2.76,31727.72
7.76,80910.19
6.48,58418.52
1.8,15021.32
6.34,50372.79
6.25,68012.88
7.22,69974.92
1.86,19290.9
4.91,45374.75
4.64,44802.41
3.27,35858.43
7.58,76198.52
8.18,84536.54
5.95,58720.42
4.82,42337.28
3.13,30623.42
7.51,77238.57
8.95,85406.97
5.25,48598.51
2.55,26727.47
1.14,13949.75
6.74,62920.56
3.57,35075.29
10.07,94203.07
4.68,52240.62
4.25,54860.1
2.61,29257.15
8.07,81954.66
6.37,62171.78
5.06,53132.29
9.31,86199.65
8.82,85180.88
5.73,61034.9
4.81,48244.39
6.0,56162.24
5.04,43413.54
3.06,29544.86
3.92,40475.11
6.07,59986.33
5.43,51535.72
4.83,41081.51
2.89,26966.07
5.87,63560.16
5.7,57528.58
2.35,24014.2
4.71,53008.74
5.14,51302.66
6.33,60301.08
7.88,71307.66
5.36,55034.7
11.37,116382.26
10.71,104038.18
5.65,55154.4
6.04,68536.87
3.71,37038.96
4.62,48400.69
5.02,42835.89
4.46,43283.93
3.3,41194.24
4.31,50385.85
4.79,46751.98
3.36,34070.1
1.59,12289.01
3.35,32098.66
9.74,94986.95
8.39,78447.83
8.84,90875.04
7.39,79430.17
5.81,51864.92
7.39,71085.21
6.24,53963.72
0.15,2199.2
1.96,24441.31
1.9,13318.97
3.75,28650.92
3.91,34657.26
6.08,65005.54
5.98,60611.12
4.46,51867.45
1.5,14291.67
6.17,58249.5
6.13,59725.27
1.19,15199.79
3.56,36716.37
4.16,41297.66
5.93,54727.46
4.36,36580.76
2.44,27629.19
5.67,53516.24
6.14,60529.32
7.06,68884.19
3.33,35174.63
4.32,38786.26
6.96,73188.79
11.95,118402.13
5.71,59530.76
5.27,45163.29
6.11,60769.79
4.08,48080.54
5.12,59093.58
6.69,63827.5
3.89,37770.84
7.01,66532.01
9.59,94331.82
6.95,61854.45
2.14,20999.44
6.71,70378.41
2.69,19965.88
9.24,101779.52
1.34,11011.65
4.54,42412.13
4.55,48833.85
5.19,56297.55
5.92,53800.46
4.04,41121.06
6.43,66866.38
8.37,79655.99
5.58,54591.35
4.27,39767.48
4.85,50723.04
5.4,45638.26
4.67,46666.03
4.55,49184.89
1.72,25555.21
3.97,45866.37
2.18,26501.26
4.15,43164.55
5.51,56329.16
2.27,21133.04
6.25,56733.49
6.91,66691.73
4.47,42443.97
6.66,62713.46
4.23,32221.9
5.59,50381.38
6.06,67971.71
5.84,60422.41
3.96,38799.23
3.0,24452.55
7.35,70063.35
8.03,93424.14
2.26,24123.88
4.68,48538.45
1.85,24131.54
6.99,72899.29
7.28,77731.63
4.14,44705.38
5.38,55875.16
7.87,77186.07
6.45,73531.04
7.63,81901.39
4.21,36336.31
7.71,72540.6
6.3,65672.42
5.57,54812.09
-0.09,2754.87
6.88,62837.46
9.64,102547.48
6.77,64083.34
2.62,30530.45
7.04,75383.99
4.54,51824.71
4.52,35357.91
4.15,45004.02
5.25,57178.55
2.58,28631.4
6.03,53533.08
7.55,83362.07
4.75,42964.1
9.82,99089.59
6.26,52196.59
3.68,35399.7
3.19,29209.96
4.62,45290.53
6.06,51514.55
5.95,55134.03
5.67,54405.16
3.4,29771.3
8.26,80690.73
5.63,54537.84
4.96,42251.18
5.67,57714.58
6.02,54872.18
5.47,61747.62
6.15,65714.55
4.02,44190.09
6.45,59625.0
7.84,79001.97
8.52,80363.13
5.79,62301.61
3.98,38600.48
2.6,36219.68
5.27,46255.08
3.97,37374.15
5.32,48886.68
4.27,41928.94
7.56,73302.0
6.34,70082.49
3.67,44368.36
3.69,36582.28
5.77,60293.27
5.68,65467.68
2.34,20854.92
7.88,67182.57
2.08,16467.91
2.51,26401.47
3.61,43436.53
9.26,97733.0
9.06,83662.34
2.0,21990.76
3.34,31799.98
7.27,74570.15
5.74,57988.53
5.36,60223.07
3.15,34494.48
6.72,64153.96
8.32,81912.83
4.57,47931.44
1.39,13997.62
4.84,43987.24
5.24,50100.44
6.04,67846.04
3.42,34754.46
1.68,14606.74
5.66,53263.27
9.86,91859.11
4.62,49823.18
6.13,67353.54
1.73,17737.98
3.43,32329.08
6.36,64775.48
4.32,48750.45
6.28,68489.97
4.7,36662.2
8.0,79026.48
3.76,39880.62
3.16,36935.51
2.94,28049.49
3.49,32098.78
2.75,27690.48
0.91,3654.15
6.56,68095.87
7.18,70649.81
4.44,49442.82
4.93,47768.38
5.93,65209.58
9.34,97076.67
7.02,68141.97
5.64,55998.37
-0.42,-15455.22
3.8,31960.38
4.01,38167.45
5.3,57282.91
5.96,49963.4
6.75,74110.78
6.13,69613.06
5.29,47146.04
4.78,42833.66
2.72,21243.91
6.85,66056.9
8.66,88855.13
3.2,37473.86
1.0,7015.88
7.4,77759.7
5.89,49029.09
6.07,63691.65
6.97,66947.6
4.61,44118.66
3.21,34121.36
7.15,74753.49
9.98,93753.56
6.06,58503.35
6.04,60049.96
2.5,24047.43
2.42,30196.76
4.55,43202.97
7.71,78327.64
5.04,50594.24
5.11,55577.22
4.72,53646.42
1.9,18937.99
5.93,66373.72
2.62,31940.21
4.92,42492.6
4.87,46322.63
5.7,56996.27
4.62,42462.88
8.65,82724.17
2.84,25138.64
4.21,47148.27
7.9,78513.11
7.59,76060.76
3.52,33643.39
3.44,25273.34
6.25,68833.43
2.54,22389.39
5.79,57861.37
6.87,68325.77
7.42,75348.12
4.71,52645.93
4.99,48842.66
3.16,24063.23
3.84,25535.33
4.29,41502.59
7.15,66721.25
5.24,41631.14
4.95,52596.95
9.52,86854.88
5.18,50592.76
7.84,79724.14
2.26,25865.27
6.04,72086.22
7.08,71579.62
6.2,59274.36
4.82,41359.28
0.86,17046.73
6.4,70840.04
4.8,38535.9
7.57,83975.49
4.94,46794.47
0.47,7680.78
1.15,8677.31
4.85,48957.58
8.01,77404.36
6.93,66786.51
3.77,34677.34
6.59,58986.23
7.15,70140.22
2.43,21518.78
6.16,61483.1
5.19,50409.89
7.18,67116.05
4.67,41497.87
5.54,62024.91
5.95,63163.76
6.46,63978.21
5.4,47027.03
1.43,14607.57
5.64,51320.2
2.84,26255.4
6.22,59912.49
3.55,31903.97
3.06,29356.67
2.16,19053.45
3.58,41983.65
4.56,46852.78
2.38,22607.44
3.27,32733.31
3.18,32490.47
2.25,22666.2
7.78,72167.01
4.52,46294.58
5.06,40634.34
5.96,61891.31
6.2,59661.83
6.27,60634.39
6.68,67369.48
4.72,46348.74
6.32,63142.29
3.68,42643.51
4.13,43881.4
6.3,62872.97
5.49,61258.66
7.53,82489.9
4.77,53778.64
5.19,49208.6
3.03,38763.1
7.02,69748.62
3.67,35706.89
5.32,54033.56
6.74,58839.16
5.57,51097.47
5.1,59325.3
4.18,39567.58
2.14,20921.92
4.07,42963.86
6.78,60961.82
5.25,52142.0
4.42,42050.97
2.47,27363.82
6.85,81160.28
5.5,51824.14
6.68,62322.89
4.41,38171.68
3.86,38607.26
1.32,21578.83
3.24,32915.47
4.0,43551.29
5.39,55160.28
4.5,42776.54
7.53,75092.13
7.05,78245.03
1.71,20726.58
4.89,46629.72
4.19,40116.63
5.58,53698.57
6.59,60194.29
5.23,51670.91
7.25,70308.05
8.87,85144.59
5.0,55721.53
4.11,38693.48
4.23,42312.83
9.83,97481.73
3.72,33392.32
6.06,61635.62
3.43,42544.62
5.82,55105.03
4.17,41634.92
3.51,44733.02
4.84,57682.87
6.47,66715.33
5.66,57203.0
3.51,34030.45
7.36,72327.24
5.4,53455.0
5.23,43078.21
2.56,20067.18
5.07,51282.15
-2.04,-24872.36
3.21,28041.79
5.42,64081.97
8.84,90404.1
4.06,39889.71
2.07,23313.64
7.08,69195.67
3.44,30457.09
7.83,84226.64
3.85,43080.24
6.79,68591.85
5.68,57025.08
6.33,68560.72
5.37,50895.92
3.66,36601.43
5.92,62742.68
5.98,65280.06
4.74,54466.33
6.09,65208.17
7.86,79018.88
4.4,36099.68
5.48,52254.14
3.54,34813.58
3.53,38573.78
4.83,48963.02
4.36,38789.02
6.85,66904.68
6.35,59823.72
5.17,46867.75
6.91,74007.62
0.78,7777.26
7.6,76872.74
6.49,57309.0
3.32,37295.32
6.31,55044.65
2.0,20749.27
2.53,16774.31
6.99,70310.01
1.02,7392.18
9.06,84626.56
5.38,55611.51
6.07,54830.4
2.38,30282.35
4.63,52654.51
3.84,37864.03
6.57,60265.89
6.1,64876.97
2.75,29874.12
4.7,41379.35
4.36,42487.96
7.11,75891.64
1.17,13473.4
6.07,54250.38
3.97,37019.83
6.9,66150.91
4.09,40576.01
6.1,62384.03
6.81,71102.39
6.67,67558.34
1.1,4858.52
2.58,19448.84
4.24,37903.14
1.55,9421.76
4.18,42629.79
5.19,50661.06
6.41,64629.21
5.54,54282.67
5.92,71275.32
2.23,25078.22
4.9,55276.78
5.88,69808.57
6.09,64238.05
5.99,66545.13
0.54,-6194.28
5.77,55560.92
3.96,44322.99
3.67,39551.69
3.12,36417.17
7.16,73978.91
0.64,1422.92
1.6,18436.83
6.09,56846.36
3.62,34396.82
3.72,35765.39
6.93,68987.02
3.73,45529.13
3.34,33384.6
5.21,48143.83
4.71,55785.11
6.31,61403.19
4.05,44434.31
5.48,54571.57
2.95,35289.17
6.81,63271.51
3.45,28020.73
6.04,63588.44
5.25,46571.93
8.49,85590.62
7.96,82916.78
4.33,49202.3
5.43,57628.83
3.97,39879.52
5.14,52155.47
6.62,68003.21
5.32,57574.44
7.37,71311.57
3.55,24324.95
6.64,70565.31
2.78,24021.1
6.86,70072.85
5.51,65786.09
5.93,65404.93
5.79,59527.97
5.33,62188.0
5.47,55892.34
7.04,64517.86
7.05,72610.6
5.61,54132.62
1.23,13967.07
4.51,37496.87
4.39,44287.2
4.84,51455.18
1.34,10073.78
5.83,49766.48
5.51,57195.04
7.17,64036.02
2.02,14103.51
4.62,51871.34
3.87,32486.88
4.4,45578.0
6.93,70415.12
1.78,18562.76
3.51,32105.28
9.48,107212.38
3.87,31314.9
7.44,67485.38
2.33,19591.96
6.59,62946.21
6.94,77461.68
6.34,67446.48
4.43,48190.87
7.72,81846.68
3.29,32284.74
3.63,33217.22
4.51,41197.34
5.19,52226.28
8.51,80558.62
5.49,47486.78
3.99,47152.3
6.03,64946.03
6.59,67952.53
5.22,55496.22
2.89,22818.44
7.33,72517.57
9.62,97179.59
4.22,46843.66
4.23,39677.21
8.07,77852.27
5.05,47658.09
3.5,31851.18
2.94,26051.34
3.53,33905.51
6.03,58349.21
9.86,107657.74
6.24,61350.44
4.59,47712.43
6.54,63171.55
4.65,49954.16
4.56,52886.15
3.02,23468.57
4.71,40197.17
5.77,51059.48
6.71,68220.07
3.37,25966.36
4.73,45641.0
4.29,43786.92
6.51,66960.11
5.61,44954.51
8.14,83623.21
6.54,55530.08
3.96,47747.37
-2.21,-21312.28
11.44,111920.12
5.58,52820.16
5.04,56211.15
6.81,69961.06
7.44,73227.1
11.18,108453.44
3.63,33955.26
6.79,66756.88
4.92,44245.91
4.08,41635.51
6.52,68075.29
8.97,86152.01
4.8,42624.49
7.36,73178.01
1.41,21965.79
3.84,33510.81
2.57,15611.36
5.32,54517.48
5.43,52754.37
0.39,-928.41
5.91,54880.96
5.96,54039.67
6.25,64073.29
6.27,57968.04
1.56,18191.74
5.04,45296.35
4.42,46627.59
5.13,57770.7
5.76,66055.72
2.58,26834.66
5.6,50688.31
7.28,78402.93
6.07,61870.53
4.18,40116.2
3.16,33517.61
5.84,55376.92
4.45,39282.93
2.59,20922.83
3.48,27675.0
1.37,19418.63
4.04,42057.27
4.67,39470.01
4.83,42318.05
3.73,40240.62
1.85,15677.96
8.42,90357.52
2.31,22435.89
4.8,48051.75
7.16,72652.43
6.51,72993.51
9.52,96466.44
5.09,53936.41
1.15,4658.05
7.81,72259.2
5.9,55361.03
3.24,36601.57
6.98,74154.76
-0.49,-10157.13
3.57,39989.59
6.91,66203.24
4.02,39713.89
3.87,38755.0
3.07,33491.37
8.1,78166.81
2.65,27900.94
7.58,77818.13
2.87,30411.87
7.8,75785.89
9.49,97477.72
2.46,23903.58
6.48,65654.99
6.09,55526.5
5.35,65548.4
6.6,66449.41
3.99,47326.48
3.64,31787.24
7.07,73538.42
1.85,15380.03
7.47,73920.65
3.14,23991.1
4.51,41666.93
6.86,65963.76
5.16,45298.68
4.22,35937.41
3.01,35183.4
2.13,15027.73
5.45,51403.66
7.26,71828.64
5.54,57537.48
6.93,69429.11
1.1,15984.05
5.2,54583.12
5.41,60747.98
6.57,70900.84
8.96,88641.87
5.1,52162.95
5.3,58483.43
9.81,99856.22
5.18,52964.54
4.05,44556.82
7.85,72792.66
4.86,48828.97
6.12,64830.61
4.2,48494.09
1.69,10849.33
1.89,8847.16
5.94,52461.33
4.84,40910.73
4.21,41446.27
9.12,90427.06
4.55,46059.49
4.0,33641.16
2.83,22600.15
4.73,58956.94
7.88,89926.43
6.66,66294.37
2.36,32008.59
3.89,28785.84
4.11,39445.89
6.67,67050.94
3.24,35842.61
5.23,44503.12
6.5,63665.66
10.84,110409.22
6.78,60549.36
5.21,59040.94
3.21,38063.27
4.58,39966.45
5.87,46420.76
3.95,35758.83
2.37,24547.14
7.13,76236.23
4.36,32814.96
3.91,44185.39
3.09,33121.84
6.77,61895.23
5.54,52569.74
2.72,34647.82
4.52,38388.67
6.46,55497.42
5.75,63642.93
7.25,77093.45
5.31,42354.3
3.82,34241.05
4.28,40901.24
8.24,85160.33
3.76,39794.49
7.28,66675.03
6.91,74408.45
3.47,38640.24
6.32,53893.43
5.75,53002.15
4.12,41903.51
1.35,10932.05
5.33,50103.93
3.09,32345.21
8.05,83205.25
4.73,48149.51
7.67,72092.91
8.99,86707.63
2.64,28609.05
3.58,36585.36
6.01,63017.38
5.36,54684.08
5.04,56571.36
1.88,21928.29
5.69,48151.22
3.34,34607.0
5.51,49239.04
6.36,57378.69
4.34,44292.59
5.02,51461.94
4.96,48372.22
6.33,63601.74
4.04,40958.51
4.33,48000.25
2.37,24612.93
3.4,39971.07
8.43,78274.85
3.74,24877.24
6.21,71616.24
6.51,69162.23
4.89,47218.73
5.98,57822.76
1.89,25548.74
8.99,80101.74
7.42,69297.85
5.68,52454.12
6.5,68387.85
5.36,56994.1
3.12,30830.96
2.87,31134.22
0.25,3107.52
5.31,52722.69
3.43,30048.76
4.56,48004.84
4.88,49407.78
4.13,34102.29
5.78,54149.4
8.15,79467.34
5.94,55348.97
5.49,49632.78
3.07,34078.15
5.31,52054.67
4.59,53373.85
7.42,70676.57
6.61,59654.84
6.2,61925.26
2.3,25180.7
2.93,24871.1
5.15,56133.07
4.63,37149.54
1.2,13470.49
4.92,41336.5
6.29,58364.49
6.78,71642.27
3.94,39316.33
6.89,66556.38
8.04,77717.38
6.9,58868.11
5.21,60397.18
3.88,43579.18
7.54,71083.55
4.95,50800.24
4.23,39931.05
4.31,47019.61
8.35,81895.42
3.67,31173.7
4.89,43875.07
3.75,35869.47
7.76,89441.01
4.24,44498.0
3.12,30382.53
6.67,63033.0
5.58,55749.4
3.42,32666.99
6.14,64898.25
8.36,80146.58
7.56,77960.95
4.03,45258.83
3.61,41811.96
4.98,54325.04
3.88,40759.62
8.35,78880.24
3.54,44111.36
7.09,68202.39
5.88,54871.27
5.36,60511.98
3.91,36302.05
7.1,83909.48
-0.81,-2559.85
6.68,75086.82
7.44,72741.24
7.89,75433.01
7.87,73375.69
5.38,47727.71
7.71,83374.74
6.1,61976.33
5.28,41525.66
7.42,68619.17
4.95,56357.6
4.96,51838.34
5.78,54243.37
6.35,69620.49
3.83,51540.91
4.69,51814.92
1.27,9903.33
5.36,47002.66
8.47,91365.36
3.57,35561.63
6.63,66896.89
8.32,88667.85
5.4,56134.43
4.22,40525.66
4.35,37929.88
3.6,33404.18
5.72,54812.21
5.98,66668.32
1.74,16925.23
8.8,87172.1
6.87,72868.27
5.75,48483.49
5.7,62587.06
1.98,20992.03
3.52,40781.09
6.66,68479.05
4.98,39799.85
3.4,31785.51
3.3,33317.16
4.33,48004.83
7.5,79868.79
2.39,20982.22
3.0,36568.43
3.05,32094.05
5.25,48652.87
5.27,54786.7
3.49,38556.21
6.11,59936.98
4.56,46477.6
5.21,42386.02
0.81,18014.72
0.16,10994.15
4.59,47976.29
4.36,45981.58
4.04,44267.34
2.02,20298.6
5.07,49020.57
1.81,23353.68
5.74,56886.14
8.49,81536.48
4.29,47751.88
4.75,43465.07
2.84,35888.76
7.36,63610.84
2.94,31577.57
7.34,77651.46
9.68,95072.39
7.55,76685.77
6.4,75586.13
9.08,92118.05
3.48,30806.69
7.98,82990.31
5.55,54655.72
4.29,38915.75
5.39,53790.18
5.69,58878.79
3.86,38464.85
6.97,74155.6
3.06,29345.8
6.58,68724.42
2.83,28092.01
5.96,59424.5
4.37,46304.19
7.44,76118.05
8.96,89306.64
8.22,75402.78
5.55,57310.76
6.78,68832.07
6.12,54742.76
5.05,54808.44
5.83,56336.13
5.47,56928.12
4.25,39823.93
6.17,66809.39
6.91,70136.98
5.13,49686.3
4.23,44416.39
5.31,53432.78
2.49,25744.41
8.91,93062.05
0.47,8345.82
4.87,49509.28
1.82,24365.56
7.05,64102.0
2.77,36084.52
5.85,62223.23
6.81,61960.29
6.81,65929.33
7.12,78565.2
4.42,43798.24
3.61,37457.86
7.71,80302.87
4.95,47386.72
1.62,16256.03
-0.09,-2888.62
5.91,65838.84
4.51,42715.6
4.26,50270.49
4.48,41713.38
2.92,33200.97
8.21,80392.4
3.92,44678.56
4.36,42220.64
6.62,71784.51
4.89,49173.8
3.32,34825.53
2.79,26567.83
5.72,47021.23
6.46,71772.51
5.83,56177.25
4.71,38198.92
5.24,48969.05
3.66,33014.33
0.92,7120.11
3.45,33427.11
4.21,50431.89
5.9,65713.33
5.32,53773.42
3.57,46644.63
5.78,56975.58
5.03,45897.04
3.44,34662.4
2.02,17631.35
2.64,33766.82
5.32,55747.58
8.15,84712.83
5.97,50563.85
6.16,64628.84
3.03,24947.26
4.53,45025.88
3.7,38712.88
4.01,36206.02
5.88,60797.07
4.49,46416.46
6.22,62432.9
2.43,35036.72
6.37,64294.74
7.57,79811.96
4.13,35587.18
4.29,41826.99
4.34,39219.81
-1.07,-11855.76
6.76,65576.63
5.31,55997.88
4.53,51305.13
4.62,36661.24
4.62,47288.27
2.45,10750.5
4.88,52212.34
7.26,73416.57
0.48,5124.51
3.41,31261.58
5.98,53868.53
8.52,87044.5
4.54,45917.34
7.53,75980.54
6.72,67529.08
2.63,30349.78
2.86,26242.34
2.59,27277.74
6.77,64492.42
3.21,35417.18
4.4,39177.05
5.74,60397.71
5.67,44890.37
7.8,89750.75
5.45,54199.73
7.42,72880.06
3.39,28772.42
3.37,33160.67
4.78,51543.85
3.84,36493.42
5.79,50838.21
7.07,63752.82
8.41,82879.01
7.05,78101.37
3.86,39808.23
5.37,51566.29
7.48,82377.43
6.59,66851.28
6.69,64199.01
5.24,50784.79
2.8,22692.62
3.68,33811.0
1.92,22832.57
5.37,53547.82
6.37,60940.2
7.34,63395.76
-0.99,-2801.67
2.95,30022.97
3.67,29327.38
4.42,35687.12
5.54,58450.49
1.01,6864.01
6.79,64239.54
4.62,44437.01
4.53,44795.81
4.71,52219.38
4.7,42211.51
3.47,34835.5
4.37,40854.02
5.55,57263.65
4.0,39138.07
5.71,55216.47
7.26,70803.91
6.1,60054.85
3.65,36217.38
4.26,40274.32
6.39,68676.53
3.03,27498.47
5.02,47926.28
3.32,40325.94
5.71,52818.23
5.7,66357.97
3.89,35772.58
3.77,49501.13
7.94,82460.86
8.62,93625.76
2.93,27262.75
7.23,65718.79
4.52,53120.42
5.19,58189.28
4.4,37562.52
3.59,35025.52
5.03,54308.62
4.24,50015.27
5.19,51265.75
6.86,66636.11
8.21,76813.92
3.48,34093.36
5.57,50198.01
4.25,36792.81
3.57,38981.73
1.92,18265.89
4.58,39562.6
2.34,10621.14
4.62,41346.04
2.84,23071.68
4.75,50008.19
3.28,37863.28
4.74,39302.64
4.46,47405.18
3.63,29413.68
2.0,21443.55
7.63,76834.89
4.11,40385.4
7.1,73805.81
5.89,55956.1
7.76,83148.83
5.68,64536.26
6.3,64086.88
1.82,12748.87
5.86,62593.02
4.47,43494.7
6.43,59084.28
4.14,42853.16
6.93,74174.87
5.43,55914.7
3.56,32864.23
4.41,41992.12
8.02,80229.52
4.39,46394.51
3.34,22895.85
10.06,99907.76
1.81,16337.49
9.91,102104.0
6.2,67555.36
3.97,34529.52
4.9,49972.0
4.63,54672.94
